Date,Open,High,Low,Close,Adj Close,Volume
30-11-2018,180.289993,180.330002,177.029999,178.580002,177.817383,39531500
03-12-2018,184.460007,184.940002,181.210007,184.820007,184.030731,40802500
04-12-2018,180.949997,182.389999,176.270004,176.690002,175.935455,41344300
06-12-2018,171.759995,174.779999,170.419998,174.720001,173.973862,43098400
07-12-2018,173.490005,174.490005,168.300003,168.490005,167.770477,42281600
10-12-2018,165,170.089996,163.330002,169.600006,168.875732,62026000
11-12-2018,171.660004,171.789993,167,168.630005,167.909866,47281700
12-12-2018,170.399994,171.919998,169.020004,169.100006,168.377869,35627700
13-12-2018,170.490005,172.570007,169.550003,170.949997,170.219955,31898600
14-12-2018,169,169.080002,165.279999,165.479996,164.773315,40703700
17-12-2018,165.449997,168.350006,162.729996,163.940002,163.239899,44287900
18-12-2018,165.380005,167.529999,164.389999,166.070007,165.360809,33841500
19-12-2018,166,167.449997,159.089996,160.889999,160.202927,49047300
20-12-2018,160.399994,162.110001,155.300003,156.830002,156.160263,64773000
21-12-2018,156.860001,158.160004,149.630005,150.729996,150.086304,95744600
24-12-2018,148.149994,151.550003,146.589996,146.830002,146.202972,37169200
26-12-2018,148.300003,157.229996,146.720001,157.169998,156.49881,58582500
27-12-2018,155.839996,156.770004,150.070007,156.149994,155.483154,53117100
28-12-2018,157.5,158.520004,154.550003,156.229996,155.56282,42291400
31-12-2018,158.529999,159.360001,156.479996,157.740005,157.066376,35003500
02-01-2019,154.889999,158.850006,154.229996,157.919998,157.245605,37039700
03-01-2019,143.979996,145.720001,142,142.190002,141.582779,91312200
04-01-2019,144.529999,148.550003,143.800003,148.259995,147.626846,58607100
07-01-2019,148.699997,148.830002,145.899994,147.929993,147.298264,54777800
08-01-2019,149.559998,151.820007,148.520004,150.75,150.106216,41025300
09-01-2019,151.289993,154.529999,149.630005,153.309998,152.655289,45099100
10-01-2019,152.5,153.970001,150.860001,153.800003,153.143204,35780700
11-01-2019,152.880005,153.699997,151.509995,152.289993,151.639633,27023200
14-01-2019,150.850006,151.270004,149.220001,150,149.359421,32439200
15-01-2019,150.270004,153.389999,150.050003,153.070007,152.416321,28710900
16-01-2019,153.080002,155.880005,153,154.940002,154.278336,30569700
17-01-2019,154.199997,157.660004,153.259995,155.860001,155.194397,29821200
18-01-2019,157.5,157.880005,155.979996,156.820007,156.150314,33751000
22-01-2019,156.410004,156.729996,152.619995,153.300003,152.64534,30394000
23-01-2019,154.149994,155.139999,151.699997,153.919998,153.26268,23130600
24-01-2019,154.110001,154.479996,151.740005,152.699997,152.047897,25441500
25-01-2019,155.479996,158.130005,154.320007,157.759995,157.086288,33535500
28-01-2019,155.789993,156.330002,153.660004,156.300003,155.632523,26192100
29-01-2019,156.25,158.130005,154.110001,154.679993,154.01944,41587200
30-01-2019,163.25,166.149994,160.229996,165.25,164.544296,61109800
31-01-2019,166.110001,169,164.559998,166.440002,165.729218,40739600
01-02-2019,166.960007,168.979996,165.929993,166.520004,165.808884,32668100
04-02-2019,167.410004,171.660004,167.279999,171.25,170.518677,31495500
05-02-2019,172.860001,175.080002,172.350006,174.179993,173.436157,36101600
06-02-2019,174.649994,175.570007,172.850006,174.240005,173.495911,28239600
07-02-2019,172.399994,173.940002,170.339996,170.940002,170.210007,31741700
08-02-2019,168.990005,170.660004,168.419998,170.410004,170.410004,23820000
11-02-2019,171.050003,171.210007,169.25,169.429993,169.429993,20993400
12-02-2019,170.100006,171,169.699997,170.889999,170.889999,22283500
13-02-2019,171.389999,172.479996,169.919998,170.179993,170.179993,22490200
14-02-2019,169.710007,171.259995,169.380005,170.800003,170.800003,21835700
15-02-2019,171.25,171.699997,169.75,170.419998,170.419998,24626800
19-02-2019,169.710007,171.440002,169.490005,170.929993,170.929993,18972800
20-02-2019,171.190002,173.320007,170.990005,172.029999,172.029999,26114400
21-02-2019,171.800003,172.369995,170.300003,171.059998,171.059998,17249700
22-02-2019,171.580002,173,171.380005,172.970001,172.970001,18913200
25-02-2019,174.160004,175.869995,173.949997,174.229996,174.229996,21873400
26-02-2019,173.710007,175.300003,173.169998,174.330002,174.330002,17070200
27-02-2019,173.210007,175,172.729996,174.869995,174.869995,27835400
28-02-2019,174.320007,174.910004,172.919998,173.149994,173.149994,28215400
